review_id,platform,rating,review_text,user_name,date,app_version
R0001,Google Play,1,Data sync not working across devices,sarah_k,2024-03-12,3.1.2
R0002,Google Play,2,Notifications stopped working,alex_j,2024-01-16,2.1.3
R0003,Google Play,3,Would love to see tablet support,mike_t,2024-04-11,3.1.2
R0004,App Store,4,Please add more customization options,alex_j,2024-03-22,3.1.2
R0005,App Store,4,Works perfectly,sarah_k,2024-06-21,2.1.3
R0006,Google Play,3,Too expensive for what it offers,emma_w,2024-05-15,3.2.0
R0007,Google Play,2,Takes too long to load,chris_p,2024-02-10,3.0.1
R0008,App Store,4,Best app I've used for this purpose,maria88,2024-01-24,3.1.2
R0009,Google Play,4,Amazing app!,maria88,2024-07-13,2.5.4
R0010,App Store,5,Love the new feature,emma_w,2024-04-17,3.1.2
R0011,App Store,1,Notifications stopped working,mike_t,2024-05-05,2.2.0
R0012,App Store,2,App is slow on my phone,emma_w,2024-01-29,2.2.0
R0013,Google Play,5,Very useful and easy to use,maria88,2024-04-18,3.0.1
R0014,App Store,4,Please add more customization options,linda23,2024-03-14,2.5.4
R0015,Google Play,4,Would love to see tablet support,anna_l,2024-08-07,3.0.1
R0016,App Store,4,Love the new feature,mike_t,2024-09-09,2.1.3
R0017,Google Play,1,Can't login since update,chris_p,2024-02-02,3.0.0
R0018,App Store,3,Takes too long to load,mike_t,2024-01-06,3.1.2
R0019,Google Play,4,Works perfectly,john_doe,2024-08-10,2.2.0
R0020,App Store,1,Data sync not working across devices,mike_t,2024-02-24,3.2.0
R0021,App Store,4,Would love to see offline support,tech_guy,2024-10-03,3.2.0
R0022,Google Play,4,Very useful and easy to use,maria88,2024-07-04,3.2.0
R0023,App Store,3,Please add dark mode,anna_l,2024-02-10,2.1.3
R0024,App Store,1,Notifications stopped working,tech_guy,2024-08-31,3.0.1
R0025,Google Play,5,Best app I've used for this purpose,sarah_k,2024-10-03,3.2.0
R0026,Google Play,5,Very useful and easy to use,linda23,2024-09-21,3.0.0
R0027,Google Play,3,Would love to see offline support,emma_w,2024-01-11,3.0.1
R0028,Google Play,3,Please add dark mode,alex_j,2024-04-27,2.1.3
R0029,Google Play,4,Amazing app!,john_doe,2024-09-05,2.2.0
R0030,Google Play,3,Poor customer service,chris_p,2024-04-07,2.1.3
R0031,Google Play,3,App is slow on my phone,chris_p,2024-08-27,3.2.0
R0032,Google Play,2,App crashes when I open the dashboard,emma_w,2024-02-25,2.2.0
R0033,Google Play,4,Would love to see tablet support,tech_guy,2024-08-04,2.2.0
R0034,App Store,2,Poor customer service,linda23,2024-10-08,2.1.3
R0035,Google Play,1,App crashes when I open the dashboard,tech_guy,2024-07-27,3.0.0
R0036,App Store,3,Please add more customization options,tech_guy,2024-07-13,2.1.3
R0037,App Store,5,Very useful and easy to use,chris_p,2024-10-11,3.1.2
R0038,App Store,4,Would love to see offline support,sarah_k,2024-01-30,3.0.1
R0039,Google Play,4,Amazing app!,anna_l,2024-09-01,3.0.1
R0040,Google Play,1,Notifications stopped working,tech_guy,2024-02-05,3.0.1
R0041,Google Play,3,Please add more customization options,anna_l,2024-05-06,3.0.1
R0042,Google Play,2,App freezes after a few minutes,john_doe,2024-04-14,3.1.2
R0043,App Store,4,Missing functionality for exporting data,tech_guy,2024-06-02,3.0.0
R0044,App Store,2,App crashes when I open the dashboard,anna_l,2024-10-15,2.1.3
R0045,Google Play,4,Would love to see tablet support,tech_guy,2024-06-27,2.1.3
R0046,Google Play,4,Works perfectly,linda23,2024-10-05,3.1.2
R0047,App Store,2,Notifications stopped working,maria88,2024-03-09,2.5.4
R0048,Google Play,1,Notifications stopped working,john_doe,2024-05-24,3.0.1
R0049,Google Play,5,Love the new feature,mike_t,2024-09-07,2.5.4
R0050,Google Play,2,App freezes after a few minutes,alex_j,2024-01-02,2.5.4
R0051,Google Play,5,Love the new feature,mike_t,2024-08-06,3.0.1
R0052,Google Play,1,App crashes when I open the dashboard,mike_t,2024-01-19,3.2.0
R0053,App Store,3,Please add more customization options,alex_j,2024-06-06,2.5.4
R0054,Google Play,4,Love the new feature,maria88,2024-06-30,3.2.0
R0055,App Store,3,Would love to see offline support,tech_guy,2024-07-30,2.1.3
R0056,Google Play,4,Very useful and easy to use,john_doe,2024-03-22,3.2.0
R0057,Google Play,3,Too expensive for what it offers,sarah_k,2024-04-12,3.2.0
R0058,App Store,4,Works perfectly,sarah_k,2024-01-13,3.1.2
R0059,Google Play,3,App is slow on my phone,maria88,2024-05-22,2.5.4
R0060,App Store,4,Amazing app!,john_doe,2024-04-01,3.0.1
R0061,App Store,2,App crashes when I open the dashboard,emma_w,2024-06-09,3.0.0
R0062,Google Play,2,Takes too long to load,john_doe,2024-01-23,3.1.2
R0063,App Store,1,Notifications stopped working,emma_w,2024-08-08,2.1.3
R0064,App Store,5,Amazing app!,mike_t,2024-06-07,3.1.2
R0065,App Store,5,Very useful and easy to use,mike_t,2024-03-06,2.2.0
R0066,App Store,3,Poor customer service,chris_p,2024-10-07,3.2.0
R0067,Google Play,4,Works perfectly,chris_p,2024-10-23,3.0.1
R0068,App Store,3,Pricing is confusing,sarah_k,2024-09-18,3.0.0
R0069,Google Play,2,Data sync not working across devices,maria88,2024-04-30,3.1.2
R0070,App Store,3,Would love to see offline support,alex_j,2024-01-24,2.2.0
R0071,App Store,2,App freezes after a few minutes,anna_l,2024-04-09,3.1.2
R0072,App Store,2,Pricing is confusing,tech_guy,2024-01-03,3.2.0
R0073,Google Play,2,Poor customer service,mike_t,2024-08-25,2.1.3
R0074,Google Play,1,App freezes after a few minutes,linda23,2024-09-28,3.0.1
R0075,App Store,3,Takes too long to load,mike_t,2024-08-16,2.2.0
R0076,App Store,2,App is slow on my phone,john_doe,2024-09-23,3.0.0
R0077,Google Play,4,Very useful and easy to use,john_doe,2024-04-30,2.5.4
R0078,App Store,4,Best app I've used for this purpose,tech_guy,2024-03-18,2.2.0
R0079,App Store,3,Would love to see offline support,chris_p,2024-07-27,2.5.4
R0080,App Store,2,Too expensive for what it offers,chris_p,2024-07-18,3.2.0
